date,open,high,low,close
2/8/2016,1873.25,1873.25,1828.46,1853.44
2/5/2016,1913.07,1913.07,1872.65,1880.05
2/4/2016,1911.67,1927.35,1900.52,1915.45
2/3/2016,1907.07,1918.01,1872.23,1912.53
2/2/2016,1935.26,1935.26,1897.29,1903.03
2/1/2016,1936.94,1947.2,1920.3,1939.38
1/29/2016,1894,1940.24,1894,1940.24
1/28/2016,1885.22,1902.96,1873.65,1893.36
1/27/2016,1902.52,1916.99,1872.7,1882.95
1/26/2016,1878.79,1906.73,1878.79,1903.63
1/25/2016,1906.28,1906.28,1875.97,1877.08
1/22/2016,1877.4,1908.85,1877.4,1906.9
1/21/2016,1861.46,1889.85,1848.98,1868.99
1/20/2016,1876.18,1876.18,1812.29,1859.33
1/19/2016,1888.66,1901.44,1864.6,1881.33
1/15/2016,1916.68,1916.68,1857.83,1880.33
1/14/2016,1891.68,1934.47,1878.93,1921.84
1/13/2016,1940.34,1950.33,1886.41,1890.28
1/12/2016,1927.83,1947.38,1914.35,1938.68
1/11/2016,1926.12,1935.65,1901.1,1923.67
1/8/2016,1945.97,1960.4,1918.46,1922.03
1/7/2016,1985.32,1985.32,1938.83,1943.09
1/6/2016,2011.71,2011.71,1979.05,1990.26
1/5/2016,2013.78,2021.94,2004.17,2016.71
1/4/2016,2038.2,2038.2,1989.68,2012.66
12/31/2015,2060.59,2062.54,2043.62,2043.94
12/30/2015,2077.34,2077.34,2061.97,2063.36
12/29/2015,2060.54,2081.56,2060.54,2078.36
12/28/2015,2057.77,2057.77,2044.2,2056.5
12/24/2015,2063.52,2067.36,2058.73,2060.99
12/23/2015,2042.2,2064.73,2042.2,2064.29
12/22/2015,2023.15,2042.74,2020.49,2038.97
12/21/2015,2010.27,2022.9,2005.93,2021.15
12/18/2015,2040.81,2040.81,2005.33,2005.55
12/17/2015,2073.76,2076.37,2041.66,2041.89
12/16/2015,2046.5,2076.72,2042.43,2073.07
12/15/2015,2025.55,2053.87,2025.55,2043.41
12/14/2015,2013.37,2022.92,1993.26,2021.94
12/11/2015,2047.27,2047.27,2008.8,2012.37
12/10/2015,2047.93,2067.65,2045.67,2052.23
12/9/2015,2061.17,2080.33,2036.53,2047.62
12/8/2015,2073.39,2073.85,2052.32,2063.59
12/7/2015,2090.42,2090.42,2066.78,2077.07
12/4/2015,2051.24,2093.84,2051.24,2091.69
12/3/2015,2080.71,2085,2042.35,2049.62
12/2/2015,2101.71,2104.27,2077.11,2079.51
12/1/2015,2082.93,2103.37,2082.93,2102.63
11/30/2015,2090.95,2093.81,2080.41,2080.41
11/27/2015,2088.82,2093.29,2084.13,2090.11
11/25/2015,2089.3,2093,2086.3,2088.87
11/24/2015,2084.42,2094.12,2070.29,2089.14
11/23/2015,2089.41,2095.61,2081.39,2086.59
11/20/2015,2082.82,2097.06,2082.82,2089.17
11/19/2015,2083.7,2086.74,2078.76,2081.24
11/18/2015,2051.99,2085.31,2051.99,2083.58
11/17/2015,2053.67,2066.69,2045.9,2050.44
11/16/2015,2022.08,2053.22,2019.39,2053.19
11/13/2015,2044.64,2044.64,2022.02,2023.04
11/12/2015,2072.29,2072.29,2045.66,2045.97
11/11/2015,2083.41,2086.94,2074.85,2075
11/10/2015,2077.19,2083.67,2069.91,2081.72
11/9/2015,2096.56,2096.56,2068.24,2078.58
11/6/2015,2098.6,2101.91,2083.74,2099.2
11/5/2015,2101.68,2108.78,2090.41,2099.93
11/4/2015,2110.6,2114.59,2096.98,2102.31
11/3/2015,2102.63,2116.48,2097.51,2109.79
11/2/2015,2080.76,2106.2,2080.76,2104.05
10/30/2015,2090,2094.32,2079.34,2079.36
10/29/2015,2088.35,2092.52,2082.63,2089.41
10/28/2015,2066.48,2090.35,2063.11,2090.35
10/27/2015,2068.75,2070.37,2058.84,2065.89
10/26/2015,2075.08,2075.14,2066.53,2071.18
10/23/2015,2058.19,2079.74,2058.19,2075.15
10/22/2015,2021.88,2055.2,2021.88,2052.51
10/21/2015,2033.47,2037.97,2017.22,2018.94
10/20/2015,2033.13,2039.12,2026.61,2030.77
10/19/2015,2031.73,2034.45,2022.31,2033.66
10/16/2015,2024.37,2033.54,2020.46,2033.11
10/15/2015,1996.47,2024.15,1996.47,2023.86
10/14/2015,2003.66,2009.56,1990.73,1994.24
10/13/2015,2015,2022.34,2001.78,2003.69
10/12/2015,2015.65,2018.66,2010.55,2017.46
10/9/2015,2013.73,2020.13,2007.61,2014.89
10/8/2015,1994.01,2016.5,1987.53,2013.43
10/7/2015,1982.34,1999.31,1976.44,1995.83
10/6/2015,1986.63,1991.62,1971.99,1979.92
10/5/2015,1954.33,1989.17,1954.33,1987.05
10/2/2015,1921.77,1951.36,1893.7,1951.36
10/1/2015,1919.65,1927.21,1900.7,1923.82
9/30/2015,1887.14,1920.53,1887.14,1920.03
9/29/2015,1881.9,1899.48,1871.91,1884.09
9/28/2015,1929.18,1929.18,1879.21,1881.77
9/25/2015,1935.93,1952.89,1921.5,1931.34
9/24/2015,1934.81,1937.17,1908.92,1932.24
9/23/2015,1943.24,1949.52,1932.57,1938.76
9/22/2015,1961.39,1961.39,1929.22,1942.74
9/21/2015,1960.84,1979.64,1955.8,1966.97
9/18/2015,1989.66,1989.66,1953.45,1958.03
9/17/2015,1995.33,2020.86,1986.73,1990.2
9/16/2015,1978.02,1997.26,1977.93,1995.31
9/15/2015,1955.1,1983.19,1954.3,1978.09
9/14/2015,1963.06,1963.06,1948.27,1953.03
9/11/2015,1951.45,1961.05,1939.19,1961.05
9/10/2015,1941.59,1965.29,1937.19,1952.29
9/9/2015,1971.45,1988.63,1937.88,1942.04
9/8/2015,1927.3,1970.42,1927.3,1969.41
9/4/2015,1947.76,1947.76,1911.21,1921.22
9/3/2015,1950.79,1975.01,1944.72,1951.13
9/2/2015,1916.52,1948.91,1916.52,1948.86
9/1/2015,1970.09,1970.09,1903.07,1913.85
8/31/2015,1986.73,1986.73,1965.98,1972.18
8/28/2015,1986.06,1993.48,1975.19,1988.87
8/27/2015,1942.77,1989.6,1942.77,1987.66
8/26/2015,1872.75,1943.09,1872.75,1940.51
8/25/2015,1898.08,1948.04,1867.08,1867.61
8/24/2015,1965.15,1965.15,1867.01,1893.21
8/21/2015,2034.08,2034.08,1970.89,1970.89
8/20/2015,2076.61,2076.61,2035.73,2035.73
8/19/2015,2095.69,2096.17,2070.53,2079.61
8/18/2015,2101.99,2103.47,2094.14,2096.92
8/17/2015,2089.7,2102.87,2079.3,2102.44
8/14/2015,2083.15,2092.45,2080.61,2091.54
8/13/2015,2086.19,2092.93,2078.26,2083.39
8/12/2015,2081.1,2089.06,2052.09,2086.05
8/11/2015,2102.66,2102.66,2076.49,2084.07
8/10/2015,2080.98,2105.35,2080.98,2104.18
8/7/2015,2082.61,2082.61,2067.91,2077.57
8/6/2015,2100.75,2103.32,2075.53,2083.56
8/5/2015,2095.27,2112.66,2095.27,2099.84
8/4/2015,2097.68,2102.51,2088.6,2093.32
8/3/2015,2104.49,2105.7,2087.31,2098.04
7/31/2015,2111.6,2114.24,2102.07,2103.84
7/30/2015,2106.78,2110.48,2094.97,2108.63
7/29/2015,2094.7,2110.6,2094.08,2108.57
7/28/2015,2070.75,2095.6,2069.09,2093.25
7/27/2015,2078.19,2078.19,2063.52,2067.64
7/24/2015,2102.24,2106.01,2077.09,2079.65
7/23/2015,2114.16,2116.87,2098.63,2102.15
7/22/2015,2118.21,2118.51,2110,2114.15
7/21/2015,2127.55,2128.49,2115.4,2119.21
7/20/2015,2126.85,2132.82,2123.65,2128.28
7/17/2015,2126.8,2128.91,2119.88,2126.64
7/16/2015,2110.55,2124.42,2110.55,2124.29
7/15/2015,2109.01,2114.14,2102.49,2107.4
7/14/2015,2099.72,2111.98,2098.18,2108.95
